Source,Target,Type,Id,Label,Weight
3,14,Directed,251,P4,1.0
3,37,Directed,253,P42,1.0
3,55,Directed,254,P42,1.0
3,90,Directed,518,P42,1.0
3,92,Directed,411,P42,1.0
4,20,Directed,255,P2,1.0
12,52,Directed,261,-P71,1.0
14,58,Directed,262,P78,1.0
14,59,Directed,263,P78,1.0
15,67,Directed,264,-P71,1.0
16,15,Directed,265,P2,1.0
17,2,Directed,266,-P71,1.0
17,25,Directed,267,P90,1.0
19,11,Directed,271,P4,1.0
19,12,Directed,272,P2,1.0
19,457,Directed,460,P2,1.0
19,458,Directed,461,P2,1.0
19,459,Directed,462,-P67,1.0
19,480,Directed,489,P3,1.0
19,512,Directed,514,-P138,1.0
20,10,Directed,273,-P71,1.0
22,1,Directed,274,-P71,1.0
27,481,Directed,490,P2,1.0
28,71,Directed,369,P2,1.0
30,3,Directed,294,-P41,1.0
32,17,Directed,297,P91,1.0
32,57,Directed,298,-P71,1.0
33,19,Directed,299,P35,1.0
37,5,Directed,302,-P71,1.0
39,7,Directed,305,P3,1.0
40,21,Directed,306,-P71,1.0
41,36,Directed,307,-P71,1.0
44,60,Directed,310,P89,1.0
45,69,Directed,311,-P94,1.0
47,8,Directed,315,P78,1.0
47,38,Directed,316,P78,1.0
48,22,Directed,318,P2,1.0
55,13,Directed,327,-P71,1.0
60,65,Directed,329,P87,1.0
62,16,Directed,332,P1,1.0
62,30,Directed,336,-P108,1.0
62,32,Directed,337,P43,1.0
62,33,Directed,338,-P34,1.0
62,41,Directed,341,P2,1.0
62,45,Directed,343,P104,1.0
62,64,Directed,346,P53,1.0
62,70,Directed,347,BM.PX.is_related_to,1.0
62,84,Directed,456,-P140,1.0
62,94,Directed,413,P3,1.0
62,95,Directed,414,P2,1.0
62,501,Directed,502,-P92,1.0
62,502,Directed,508,-P93,1.0
64,4,Directed,349,P87,1.0
64,27,Directed,350,P87,1.0
64,28,Directed,367,P45,1.0
64,39,Directed,351,P87,1.0
64,44,Directed,352,P87,1.0
69,40,Directed,360,P2,1.0
69,47,Directed,361,P4,1.0
70,48,Directed,363,P1,1.0
71,72,Directed,370,-P71,1.0
84,85,Directed,457,-P37,1.0
84,97,Directed,476,P42,1.0
84,471,Directed,477,P42,1.0
84,472,Directed,480,P3,1.0
84,475,Directed,517,P42,1.0
84,514,Directed,519,P4,1.0
84,517,Directed,522,P4,1.0
85,466,Directed,475,-P71,1.0
90,91,Directed,408,-P71,1.0
92,93,Directed,412,-P71,1.0
94,464,Directed,467,P2,1.0
95,96,Directed,415,-P71,1.0
97,98,Directed,417,-P71,1.0
457,460,Directed,466,-P71,1.0
458,461,Directed,465,-P71,1.0
459,462,Directed,463,P2,1.0
462,463,Directed,464,-P71,1.0
464,465,Directed,468,-P71,1.0
471,468,Directed,479,-P71,1.0
475,476,Directed,485,-P71,1.0
481,482,Directed,491,-P71,1.0
501,503,Directed,503,P2,1.0
501,504,Directed,505,P4,1.0
502,507,Directed,509,P2,1.0
502,509,Directed,511,P4,1.0
503,505,Directed,507,-P71,1.0
504,506,Directed,506,P78,1.0
507,508,Directed,510,-P71,1.0
509,510,Directed,512,P78,1.0
512,511,Directed,516,P3,1.0
512,513,Directed,515,P3,1.0
514,515,Directed,521,P78,1.0
514,516,Directed,520,P78,1.0
